Site,Long,Lat,Evel,Nvel,SigVe,SigVn,Cor,Solution,X,Y
ARA4,44.679,39.84,2.63,8.07,0.66,0.65,-0.006,Reilinger,3487101.394,3448245.658
ARBI,48.231,38.477,4.6,12.48,0.47,0.46,-0.003,Raeesi,3330417.54,3728927.743
ARDA,53.822,32.313,-1.3,13.8,0.33,0.33,0.01,Raeesi,3184991.167,4355246.424
ARDH,47.6501,37.8288,1.02,12.9,0.15,0.16,0.006,IPGN,3397994.328,3727819.627
ARDH,42.699,41.111,0.47,3.86,0.83,0.83,-0.01,Reilinger,3536829.556,3263578.089
ARDN,42.755,41.126,0.33,4.86,0.41,0.41,-0.029,Reilinger,3532833.72,3266289.683
ARNG,51.0749,35.9284,-1.64,9.45,0.11,0.43,0.003,IPGN,3248748.81,4022611.394
ARTI,43.954,40.609,2.04,6.9,0.41,0.5,-0.027,Reilinger,3490757.025,3365572.97
ARTU,58.5605,56.4298,-0.63,-0.18,0.09,0.09,0.015,IPGN*,1843884.081,3016089.413
ASTG,45.341,40.124,2.45,9.28,1.6,1.11,0,Nocquet,3432786.426,3473892.514
ATTA,50.1,37.156,-0.14,13.5,2.1,2.09,0.03,Raeesi,3264693.334,3904529.418
AWAZ,48.925,31.188,-3.08,20.78,1.68,1.66,0.009,Raeesi,3588278.903,4116946.512
BA07,58.305,29.149,1.81,12.26,1.48,1.47,0.003,Raeesi,2928992.233,4743368.401
BA09,58.428,28.784,6.1,10.51,1.53,1.52,0.003,Raeesi,2929060.511,4766337.496
BA12,58.523,29.137,3.5,8.21,1.13,1.13,0.006,Raeesi,2911261.637,4755030.735
BA13,58.074,29.23,1.78,11.36,1.58,1.58,0.003,Raeesi,2945776.788,4727804.824
BA14,57.94,29.105,5.36,10.38,1.13,1.13,0.006,Raeesi,2960410.025,4726625.053
BA30,57.967,29.316,3.85,10.31,1.13,1.13,0.005,Raeesi,2952128.6,4718344.005
BA31,58.13,29.187,3.01,11.45,1.52,1.5,0.003,Raeesi,2942382.506,4732656.902
BA32,58.141,29.078,3.17,11.88,1.54,1.52,0.003,Raeesi,2944578.319,4738217.219
BA34,58.278,28.944,4.55,10.31,1.62,1.61,0.003,Raeesi,2937027.625,4751371.299
BA35,58.195,28.888,5.42,11.33,1.56,1.54,0.003,Raeesi,2945489.167,4749662.159
BA36,58.469,28.898,3.39,9.45,1.49,1.49,0.004,Raeesi,2922461.671,4763237.262
BA38,58.675,28.96,5.76,8.03,1.15,1.15,0.006,Raeesi,2903589.039,4770874.309
BADA,48.814,36.764,-0.17,11.61,0.36,0.35,0.003,Raeesi,3368724.725,3849960.967
BAFT,56.58,29.2392,1.24,14.48,0.12,0.12,0.013,IPGN,3067765.684,4648978.912
BAGH,55.657,27,4.33,23.67,2.43,2.25,0.031,Raeesi,3208233.178,4695520.691
BAHD,56.0461,31.8407,0.4,12.35,0.1,0.1,0.019,IPGN,3029107.01,4498639.297
BAHR,50.6082,26.2091,3.25,22.12,0.54,0.45,0,IPGN*,3633915.387,4425292.454
BAJE,58.215,34.558,-0.49,6.94,0.56,0.54,-0.004,Raeesi,2769772.338,4469797.915
BAKU,49.814,40.372,3.04,1.21,0.39,0.44,0.001,Reilinger,3139923.678,3717440.015
BALA,44.75,37.534,-3.64,15.82,0.69,0.69,0.003,Raeesi,3596454.49,3565205.654
BAMO,50.98,30.109,-1.31,18.13,1.59,1.57,0,Raeesi,3476733.923,4290346.15
BASH,53.025,35.705,0.32,10.28,0.76,0.78,0,Raeesi,3118706.008,4142422.048
BASK,44.017,38.043,-3.21,15.19,0.9,0.9,-0.026,Reilinger,3616875.146,3494850.241
BAV0,43.782,41.121,1.63,6.75,0.45,0.44,-0.02,Reilinger,3473986.294,3329338.672
BAZ2,60.177,27.865,5.03,3.63,1.61,1.6,0.005,Raeesi,2806254.192,4895438.184
BAZM,60.18,27.865,4.95,3.4,2.23,1.9,0.023,Raeesi,2805997.864,4895585.112
BEBN,50.2169,30.6057,-3.01,18.41,0.11,0.11,0.016,IPGN,3515758.331,4222276.314
BES2,54.832,29.363,-1.09,14.04,0.41,0.41,0.018,Raeesi,3204280.57,4547747.843
BEDI,65.2259,26.4493,5.12,12.37,1.28,1.18,0.035,Frohling,2394540.729,5188419.231
BEUG,42.787,44.011,-0.44,0.71,0.44,0.64,-0.031,Reilinger,3371923.441,3121014.536
BIAJ,55.8052,36.0861,1.1,8.42,0.11,0.12,0.014,IPGN,2900175.04,4268311.202
BIAR,55.906,35.988,1.14,9.36,0.59,0.61,-0.01,Raeesi,2896251.026,4278709.974
BIG2,53.637,27.852,-1.68,15.4,1.32,1.33,0.001,Raeesi,3345966.512,4544500.217
BIJA,47.93,36.232,-1.98,13.59,0.36,0.35,0,Raeesi,3451248.837,3823595.531
BIJD,59.2553,32.9002,0.9,6.99,0.13,0.13,0.012,IPGN,2740357.804,4607097.161
BILE,48.717,39.497,5.85,12.27,0.36,0.35,0.001,Reilinger,3251665.224,3703508.441
BJMI,43.296,41.779,0.92,3.41,0.71,0.77,-0.079,Reilinger,3466892.596,3266577.372
BLDH,51.8287,36.2083,-2.3,10.03,0.21,0.11,0.015,IPGN,3184245.98,4050628.27
BMG2,53.48,26.97,1.97,20.36,1.54,1.56,0.001,Raeesi,3385182.465,4571473.735
BNAB,46.0519,37.3699,-1.43,12.3,0.38,0.72,0,IPGN,3522209.101,3653972.269
BOJD,57.2716,37.4803,-2.36,4.56,0.1,0.11,0.015,IPGN,2739908.526,4263196.465
BOND,50.732,36.623,-1.37,11.28,0.74,0.76,0,Raeesi,3243900.267,3967790.859
BOOM,51.812,35.73,-1.62,10.61,0.36,0.34,0,Raeesi,3204697.997,4074200.271
BORC,41.777,41.268,0.06,3.7,0.43,0.43,-0.007,Reilinger,3580323.636,3198593.528
BORU,48.506,33.772,-4.61,14.29,1.66,1.66,0.009,Raeesi,3516345.853,3975344.747
BRBS,56.3206,27.2072,5,23.18,0.26,0.27,0.006,IPGN,3147835.342,4723658.289
BRMN,47.2884,37.919,1.34,13.01,0.17,0.11,0.008,IPGN,3417290.484,3701778.191
BRSR,56.721,29.997,0.75,15.45,1.69,1.68,0.002,Raeesi,3033536.548,4621808.725
BSOF,45.7316,38.674,4.52,10.82,0.12,0.12,0.011,IPGN,3480345.588,3570379.989
BTMN,41.154,37.864,-6.43,15.27,0.81,0.81,0,Reilinger,3796121.864,3317873.807
